WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3;EXAMPLE;DEFINITION
be;0;v;1;byæ;was/were;been;;to exist
beat;0;v;3;biæ;beat;beaten;;
become;0;v;1;staæ siê;became;become;;
begin;0;v;2;zaczynaæ;began;begun;;to start
bend;0;v;3;zginaæ;bent;bent;;
bite;0;v;3;gryŸæ;bit;bitten;;
break;0;v;2;z³amaæ;broke;broken;;
bring;0;v;2;przynieœæ;brought;brought;;
build;0;v;2;budowaæ;built;built;;
buy;0;v;2;kupowaæ;bought;bought;;to get sth for money
burn;0;v;2;paliæ;burnt;burnt;;
burst;0;v;3;wybuchaæ;burst;burst;;
catch;0;v;2;z³apaæ;caught;caught;;
choose;0;v;2;wybieraæ;chose;chosen;;to select
come;0;v;1;przychodziæ;came;come;;
cost;0;v;2;kosztowaæ;cost;cost;;
cut;0;v;2;ci¹æ;cut;cut;;
deal;0;v;2;zajmowaæ siê;dealt;dealt;;
do;0;v;1;robiæ;did;done;;
draw;0;v;2;rysowaæ;drew;drawn;;
dream;0;v;2;marzyæ;dreamt;dreamt;;
drink;0;v;2;piæ;drank;drunk;;
drive;0;v;2;prowadziæ (samochód);drove;driven;;
eat;0;v;2;jeœæ;ate;eaten;;
fall;0;v;3;upaœæ;fell;fallen;;
feel;0;v;3;czuæ;felt;felt;;
fight;0;v;2;walczyæ;fought;fought;;
find;0;v;2;znaleŸæ;found;found;;
fly;0;v;2;lecieæ;flew;flown;;
forget;0;v;2;zapomnieæ;forgot;forgotten;;
freeze;0;v;2;zamarzn¹æ;froze;frozen;; 
get;0;v;2;dostaæ;got;got;;
give;0;v;1;dawaæ;gave;given;;
go;0;v;1;chodziæ;went;gone/been;;
grow;0;v;3;rosn¹æ;gre w;grown;;
have;0;v;1;mieæ;had;had;;
hear;0;v;2;s³yszeæ;heard;heard;;
hide;0;v;3;ukrywaæ;hid;hidden;;
hit;0;v;2;uderzyæ;hit;hit;;
hold;0;v;3;trzymaæ w rêkach;held;held;;
hurt;0;v;2;zraniæ;hurt;hurt;;
keep;0;v;2;trzymaæ;kept;kept;;
know;0;v;1;wiedzieæ;knew;known;;
lay;0;v;3;k³aœæ;laid;laid;;
lead;0;v;2;prowadziæ;led;led;;
learn;0;v;1;uczyæ siê;learnt;learnt;;
leave;0;v;1;opuszczaæ;left;left;Don't ___ me now. Please, stay with me.;
lend;0;v;2;po¿yczaæ;lent;lent;;
let;0;v;2;pozwoliæ;let;let;;
lie;0;v;3;le¿eæ;lay;lain;;
light;0;v;3;oœwietliæ;lit;lit;;
lose;0;v;2;straciæ;lost;lost;;
make;0;v;1;robiæ;made;made;Where do they ___ these cars?;
mean;0;v;2;znaczyæ;meant;meant;;
meet;0;v;1;spotykaæ;met;met;;
pay;0;v;1;p³aciæ;paid;paid;;to give sb money for sth
put;0;v;2;po³o¿yæ;put;put;___ the gun down!;
quit;0;v;3;porzuciæ;quit;quit;I must ___ smoking.;to stop doing sth
read;0;v;2;czytaæ;read;read;;
ride;0;v;2;jechaæ (na czymœ);rode;ridden;Can you ___ a bike?;
ring;0;v;2;dzwoniæ;rang;rung;I'll ___ you tomorrow.;
rise;0;v;3;podnieœæ siê;rose;risen;His salary ___ every year. ;
run;0;v;2;biegaæ;ran;run;;
say;0;v;2;powiedzieæ (coœ);said;said;;
see;0;v;2;widzieæ;saw;seen;;
sell;0;v;2;sprzedawaæ;sold;sold;;
send;0;v;2;wysy³aæ;sent;sent;;
set;0;v;2;ustawiæ;set;set;Don't forget to ___ your alarm clock.;
shoot;0;v;2;strzelaæ;shot;shot;;
show;0;v;2;pokazywaæ;showed;shown;;
shut;0;v;2;zamykaæ;shut;shut;;
sit;0;v;2;siedzieæ;sat;sat;;
sink;0;v;3;zaton¹æ;sank;sunk;The Titanic hit an iceberg but she didn't ___ at once.;
sleep;0;v;2;spaæ;slept;slept;;
speak;0;v;2;mówiæ;spoke;spoken;;
spend;0;v;2;wydawaæ;spent;spent;How much money do you ___ on sweets?;
spill;0;v;3;rozlewaæ;spilt;spilt;Don't ___ your coffee on my laptop!;
spoil;0;v;3;zepsuæ;spoilt;spoilt;Your bad mood may ___ any party!;
spread;0;v;3;rozszerzaæ;spread;spread;The epidemic may ___ if we don't act now.;
stand;0;v;2;staæ;stood;stood;;
steal;0;v;2;kraœæ;stole;stolen;;
stick;0;v;3;przyklejaæ;stuck;stuck;I forgot to ___ a stamp on the envelope.;
swim;0;v;2;p³ywaæ;swam;swum;;
take;0;v;2;braæ;took;taken;;
teach;0;v;2;uczyæ kogoœ;taught;taught;;
tell;0;v;2;powiedzieæ (komuœ);told;told;;
think;0;v;2;myœleæ;thought;thought;;
throw;0;v;2;rzucaæ;threw;thrown;;
understand;0;v;2;rozumieæ;understood;understood;;
wake;0;v;2;obudziæ;woke;woken;;
wear;0;v;2;nosiæ (na sobie);wore;worn;Do you ___ a school uniform?;
win;0;v;2;zwyciê¿yæ;won;won;;
write;0;v;2;pisaæ;wrote;written;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
