WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
technika lotnicza;1;n;2;aeronautical engineering;;
obs³uga samolotu;1;n;2;aircraft maintenance;;
praktykant;1;n;2;apprentice;uczeñ rzemieœlnika;
praktyka zawodowa;1;n;2;apprenticeship;nauka rzemios³a;terminowanie
technika samochodowa;1;n;2;automotive engineering;;
szeroki;1;adj;1;broad;;
wybór;1;n;1;choice;;
budownictwo l¹dowe;1;n;2;civil engineering ;budownictwo l¹dowe i wodne;in¿ynieria l¹dowa i wodna
projektowanie wspomagane komputerowo;1;n;2;computer-aided design ;;
kreœlenie wspomagane komputerowo;1;n;3;computer-aided draughting ;;
kurs;1;n;1;course;;
stopieñ;1;n;1;degree;;
urz¹dzenie;1;n;2;device;;
cyfrowy;1;adj;2;digital;;
energetyka;1;n;2;electrical engineering ;elektrotechnika;
elektrycznoœæ;1;n;1;electricity;;
elektronika;1;n;1;electronics;;
œrodowisko;1;n;2;environment;;
usterka;1;n;2;fault;wada;skaza
monter;1;n;3;fitter;;
skupienie;1;n;2;focus;ogniskowa;
silnik turbospalinowy;1;n;3;gas turbine engine ;;
absolwent;1;n;1;graduate;;
przypadkowy;1;adj;3;haphazard;;
informatyka;1;n;2;information technology;;
wiedza;1;n;2;knowledge;;
technologia produkcji;1;n;3;manufacturing engineering ;technologia wytwarzania;
technika okrêtowa;1;n;3;marine technology;;
przetwarzanie sieciowe;1;n;2;network computing ;;
uzbrojenie;1;n;3;ordnance;;
uprzedni;1;adj;2;prior;wczeœniejszy;
œmig³o;1;n;3;propeller;œruba napêdowa;
kontrola jakoœci;1;n;3;quality assurance;;
wykwalifikowany;1;adj;2;skilled;;
przedmiot studiów;1;n;1;subject;;
stabilny rozwój;1;n;3;sustained growth;;
brygadzista;1;n;3;team leader;;
technik;1;n;2;technician;;
oceniaæ;1;v;3;to assess;szacowaæ;
³adowaæ;1;v;2;to charge;;
prowadziæ badania;1;v;1;to do research;;
zarabiaæ;1;v;1;to earn;;
zawieraæ w sobie;1;v;1;to include;;
uzyskaæ;1;v;2;to obtain;;
awansowaæ kogoœ;1;v;2;to promote;;
napêdzaæ;1;v;3;to propel;;
zast¹piæ;1;v;2;to replace;wymieniæ czêœæ;
nadzorowaæ;1;v;3;to supervise;;
transmisja;1;n;1;transmission;;
zmienna;1;n;3;variable;;
konserwacja i naprawa pojazdów;1;n;2;vehicle maintenance and repair;;
zawodowy;1;adj;2;vocational;;
warsztat;1;n;2;workshop;;
iloœæ;2;n;1;amount;;
zastosowanie;2;n;2;application;;
morela;2;n;1;apricot;;
warstwa wodonoœna;2;n;3;aquifer;;
drut kolczasty;2;n;2;barbed wire;;
partia, seria;2;n;3;batch;;
benzoesan;2;n;3;benzoate;;
zamykacz do butelki;2;n;2;bottle stopper;;
snopek;2;n;2;bundle;pêczek;
zatyczka;2;n;3;bung;;
puszkowanie;2;n;2;canning;;
chlorek;2;n;3;chloride;;
chlorofil;2;n;3;chlorophyll;;
korek;2;n;1;cork;;
odziarniarka;2;n;3;cotton gin;;
uprawa;2;n;1;crop;;
odwodnienie;2;n;2;dehydration;;
popyt;2;n;2;demand;;
g³êbokoœæ;2;n;2;depth;;
testowanie zniszczeniowe;2;n;2;destructive testing;;
wylewka;2;n;3;discharge pipe;;
wada;2;n;1;drawback;;
sprzêg;2;n;3;drawbar;;
matowy;2;adj;2;dull;;
wydajny;2;adj;2;efficient;;
wysi³ek;2;n;2;effort;;
przedsiêbiorczy;2;adj;3;entrepreneurial;;
w koñcu;2;adv;2;eventually;ostatecznie;
tkanina;2;n;2;fabric;;
nawóz;2;n;2;fertilizer;;
twardoœæ;2;n;2;firmness;;
konserwacja ¿ywnoœci;2;n;2;food preservation;;
granica;2;n;2;frontier;;
zbo¿e;2;n;2;grain;ziarno;
szpilka do w³osów;2;n;1;hairpin;;
r¹czka, uchwyt;2;n;2;handle;klamka;
œrodek chwastobójczy;2;n;2;herbicide;;
koñ mechaniczny;2;n;2;horsepower;;
w¹¿ (gumowy);2;n;2;hose;;
szypu³ka;2;n;3;hull;;
podnoœnik hydrauliczny;2;n;2;hydraulic lift;;
przyrz¹d;2;n;3;implement;narzêdzie;
praca;2;n;1;labour;;
roztrz¹sacz obornika;2;n;3;manure spreader;;
azotan;2;n;3;nitrate;;
brzoskwinia;2;n;1;peach;;
pestycyd;2;n;1;pesticide;;
stóg;2;n;2;pile;stos;sterta
t³ok cylindra;2;n;3;piston;;
ubóstwo;2;n;2;poverty;bieda;
wa³ odbioru mocy;2;n;3;power take-off shaft;;
bloczek;2;n;3;pulley;ko³o pasowe;
opady deszczu;2;n;1;rainfall;;
¿niwiarka;2;n;3;reaper;;
daj¹cy siê powtórnie przetworzyæ;2;adj;2;recyclable;;
poleganie na czymœ;2;n;2;reliance;;
daj¹cy siê powtórnie szczelnie zamkn¹æ;2;adj;2;resealable;;
lina;2;n;1;rope;sznur;
rz¹dek;2;n;2;row;;
próbka;2;n;2;sample;;
zakrêtka;2;n;2;screwtop;;
pakowanie hermetyczne;2;n;2;sealing;;
siewnik;2;n;3;seed drill;;
niedobór;2;n;2;shortage;brak;
chleb krojony;2;n;1;sliced bread;;
sód;2;n;3;sodium;;
gleba;2;n;2;soil;;
krok;2;n;1;step;;
siarczyn;2;n;3;sulphite;;
zak³adaæ, przypuszczaæ ;2;v;2;to assume;;
wrzeæ;2;v;2;to boil;;
odbijaæ siê;2;v;2;to bounce back;;
uprawiaæ;2;v;2;to cultivate;;
psuæ siê;2;v;2;to decay;gniæ;
wymyœliæ;2;v;2;to devise;zaprojektowaæ;
odbarwiaæ;2;v;2;to discolour;traciæ kolor;
rozró¿niaæ;2;v;2;to distinguish;;
dzieliæ;2;v;2;to divide;;
sprzyjaæ;2;v;2;to favour;faworyzowaæ;
grodziæ;2;v;2;to fence;;
mroziæ;2;v;1;to freeze;;
³¹czyæ;2;v;2;to fuse;;
kie³kowaæ;2;v;3;to germinate;;
chwyciæ;2;n;2;to grip;;
zbieraæ plony;2;v;2;to harvest;;
wskazywaæ;2;v;1;to indicate;;
przerywaæ;2;v;2;to interrupt;;
wynaleŸæ;2;v;2;to invent;;
podnieœæ;2;v;1;to lift;;
mierzyæ;2;v;2;to measure;;
sadziæ;2;v;2;to plant;;
oraæ;2;v;2;to plough;;
zwiêkszyæ ciœnienie;2;v;2;to pressurise;;
ch³odziæ;2;v;1;to refrigerate;;
rozrzucaæ;2;v;2;to scatter;;
zaopatrywaæ;2;v;2;to supply;dostarczaæ;
zamiataæ;2;v;1;to sweep;;
wi¹zaæ;2;v;1;to tie;;
nadepn¹æ;2;v;3;to tread;;
tkaæ;2;v;2;to weave;;
holowany;2;adj;2;trailed;ci¹gniony;
peda³;2;n;3;treadle;;
pompa no¿na;2;n;3;treadle pump;;
pró¿nia;2;n;2;vacuum;;
zawór;2;n;2;valve;;
zró¿nicowanie;2;n;2;variation;;
goœæ;2;n;1;visitor;;
lustro wody;2;n;3;water table;;
pasmo czêstotliwoœci;2;n;2;waveband;;
chwast;2;n;2;weed;;
drewniany balas w p³ocie;2;n;3;wooden rail;drewniana tralka;
dro¿d¿e;2;n;2;yeast;;
zbiór;2;n;3;yield;;
dok³adnoœæ;3;n;2;accuracy;;
punkt zakotwiczenia;3;n;2;anchor point;;
most ³ukowy;3;n;2;arch bridge;;
barka;3;n;3;barge;;
most belkowy;3;n;2;beam bridge;;
most skrzynkowy;3;n;3;box girder bridge;;
ceg³a;3;n;1;brick;;
p³yta noœna mostu;3;n;3;bridge deck;pomost;
most wantowy;3;n;3;cable stay bridge;most podwieszony;
stulecie;3;n;1;century;wiek;
wyzwanie;3;n;2;challenge;;
tymczasowa budowla hydrotechniczna;3;n;3;cofferdam;koferdam;
zawalenie siê;3;n;2;collapse;;
œciskanie;3;n;2;compression;;
betonowa ok³adzina;3;n;3;concrete lining;betonowa obudowa wewnêtrzna;
dŸwig;3;n;2;crane;;
g³owica skrawaj¹ca;3;n;3;cutterhead;;
uszkodzenie;3;n;2;damage;;
odkszta³cenie;3;n;2;distortion;;
most zwodzony;3;n;3;drawbridge;;
materialy wybuchowe;3;n;2;explosives;;
gaœnica;3;n;2;extinguisher;;
brygada robocza;3;n;3;gang of men;;
gazoci¹g;3;n;2;gas pipeline;;
dŸwigar;3;n;3;girder;;
olbrzymi;3;adj;2;huge;;
wewnêtrzne naprê¿enie;3;n;3;inward tension;wewnêtrzny naci¹g;
podnoœnik;3;n;3;jack;;
naprowadzany laserowo;3;adj;2;laser-guided;;
most podnoszony;3;n;3;lifting bridge;;
obci¹¿enie;3;n;3;load;;
k³oda;3;n;2;log;;
obowi¹zkowy;3;adj;2;mandatory;;
pomiar;3;n;2;measurement;;
równoleg³y;3;adj;2;parallel;;
filar;3;n;3;pier;pylon;
most obrotowy;3;n;3;pivot bridge;;
zakaz;3;n;1;prohibition;;
pompa;3;n;1;pump;;
urobek;3;n;3;refuse;odpady;
beton zbrojony;3;n;3;reinforced concrete;;
koryto rzeki;3;n;2;river bed;³o¿e rzeki;
kanalizacja œciekowa;3;n;2;sewage pipeline;;
kana³ œciekowy;3;n;2;sewer;;
œcinanie;3;n;3;shear;;
szlak ¿eglugowy;3;n;2;shipping route;szlak morski;
rozwi¹zanie;3;n;2;solution;;
przês³o;3;n;3;span;;
wyciek;3;n;3;spillage;;
stal;3;n;1;steel;;
kamieñ;3;n;1;stone;;
strumieñ;3;n;2;stream;;
podpora;3;n;2;support;;
most wisz¹cy;3;n;2;suspension bridge;;
most obrotowy;3;n;3;swing bridge;;
maszyna dr¹¿¹ca tunele;3;n;3;TBM;mechaniczny kret;
naprê¿enie;3;n;3;tension;;
most przechy³owy;3;n;3;tilt bridge;;
zdumiewaæ;3;v;2;to astonish;;
ugi¹æ (siê);3;v;2;to bend;;
dr¹¿yæ;3;v;3;to bore;wierciæ;
przenosiæ;3;v;2;to carry;;
rozwijaæ (siê);3;v;1;to develop;;
osuszyæ;3;v;2;to drain;odprowadziæ wodê;
podnosiæ;3;v;3;to hoist;;
po³¹czyæ;3;v;2;to link;;
przechodziæ pod (czymœ);3;v;2;to pass under;;
obracaæ siê wokó³ osi;3;v;3;to pivot;;
byæ odpornym;3;v;2;to resist;stawiaæ opór (czemuœ);
wzmocniæ;3;v;2;to strengthen;;
os³abiæ;3;v;2;to weaken;;
spawaæ;3;v;2;to weld;;
tolerancja;3;n;1;tolerance;;
most kratownicowy;3;n;3;truss bridge;;
tunel;3;n;1;tunnel;;
bliŸniacze wie¿e;3;n;1;twin towers;;
dolina;3;n;1;valley;;
wiadukt;3;n;1;viaduct;;
ostrze¿enie;3;n;1;warning;;
wodoci¹g;3;n;2;water pipeline;;
mokry;3;adj;1;wet;;
szerokoœæ;3;n;2;width;;
zdolnoœæ;4;n;1;ability;;
coroczny;4;adj;3;annual;roczny;
urz¹dzenie;4;n;3;appliance;;
sztuczny;4;adj;2;artificial;;
uwaga;4;n;2;attention;;
atrakcyjny;4;adj;1;attractive;;
bakterie;4;n;2;bacteria;;
ulegaj¹cy biodegradacji;4;adj;2;biodegradable;;
dwutlenek wêgla;4;n;3;carbon dioxide;;
odzie¿;4;n;2;clothing;ubranie;
wêgiel;4;n;1;coal;;
komponent;4;n;1;component;czêœæ;
formowanie ciœnieniowe;4;n;3;compression moulding;;
spó³g³oska;4;n;3;consonant;;
zu¿ycie;4;n;2;consumption;konsumpcja;
zanieczyszczenie;4;n;3;contamination;ska¿enie;
kukurydza;4;n;1;corn;;
gêstoœæ;4;n;3;density;;
kurz;4;n;2;dust;;
przewidywany okres bezawaryjnego dzia³ania;4;n;3;expected life;;
informacja zwrotna;4;n;3;feedback;sprzê¿enie zwrotne;
w³ókno;4;n;3;fibre;;
w³ókno;4;n;3;filament;¿arnik;
elastycznoœæ;4;n;3;flexibility;giêtkoœæ;
zbiornik paliwa;4;n;1;fuel tank;;
granulka;4;n;3;granule;;
przemys³;4;n;2;industry;;
formowanie wtryskowe;4;n;3;injection moulding;;
etykieta;4;n;2;label;;
wiêkszoœæ;4;n;2;majority;;
sztuczny;4;adj;2;man-made;;
nowoczesny;4;adj;1;modern;;
wilgoæ;4;n;3;moisture;;
produkty nietrwa³e;4;n;3;non-durables;;
tlen;4;n;2;oxygen;;
przenikalnoœæ;4;n;3;permeability;;
wykres ko³owy;4;n;3;pie chart;;
w³aœciwoœæ;4;n;2;property;cecha;nieruchomoœæ
surowce;4;n;3;raw materials;;
¿ywica;4;n;3;resin;;
odporny;4;adj;2;resistant;;
sprzeda¿;4;n;1;sale;;
dŸwiêk;4;n;1;sound;;
skrobia;4;n;3;starch;wêglowodany;
odpowiedni;4;adj;2;suitable;w³aœciwy;
termoplastyczny;4;adj;3;thermoplastic;;
termoutwardzalny;4;adj;3;thermoset;;
osi¹gn¹æ;4;v;2;to achieve;uzyskaæ;
pozwoliæ;4;v;1;to allow;;
rozk³adaæ (siê);4;v;2;to break down;zepsuæ (siê);
znikaæ;4;v;1;to disappear;;
wyrzuciæ;4;v;3;to dispose;pozbyæsiê;
zachêcaæ;4;v;3;to encourage;;
ulepszyæ;4;v;2;to improve;udoskonaliæ;
formowaæ;4;v;3;to mould;kszta³towaæ;
wymawiaæ;4;v;2;to pronounce;;
powieœæ siê;4;v;3;to take off;odnieœæ sukces;wystartowaæ (o samolocie)
leczyæ;4;v;2;to treat;traktowaæ;
opakowaæ;4;v;2;to wrap;owin¹æ;
twardy;4;adj;2;tough;;
nienasycony;4;adj;3;unsaturated;niewysycony;
wszechstronny;4;adj;3;versatile;uniwersalny;
samog³oska;4;n;3;vowel;;
pszenica;4;n;2;wheat;;
szeroko stosowany;4;adj;1;widely-used;;
zaleta;5;n;1;advantage;;
alternatywny;5;adj;2;alternative;;
wiatromierz;5;n;3;anemometer;anemometr;
przybli¿ony;5;adj;2;approximate;;
³o¿ysko;5;n;3;bearing;;
³opata wirnika;5;n;3;blade;ostrze;
hamulec;5;n;2;brake;;
obudowa;5;n;3;casing;;
ko³o ³añcuchowe;5;n;2;chain wheel;;
zak³ad kogeneracji;5;n;3;cogeneration plant;;
spo³ecznoœæ;5;n;2;community;wspólnota;
warunek;5; n;1;condition;stan;
przetwornik;5;n;3;converter;konwerter;
œrednica;5;n;2;diameter;;
napêd;5;n;2;drive;;
trzêsienie ziemi;5;n;2;earthquake;;
paliwo kopalne;5;n;3;fossil fuel;;
przeniesienie napêdu przek³adni¹;5;n;3;gear transmission;;
przek³adnia zêbata;5;n;3;gearbox;skrzynia biegów;
sieæ;5;n;3;grid;;
szlifierka;5;n;3;grinder;m³ynek;kruszarka
os³ona;5;n;3;guard;;
kask;5;n;3;hard hat;;
pompa ciep³a;5;n;2;heat pump;;
szybkobie¿ny;5;adj;3;high-speed;szybkoobrotowy;
obudowa;5;n;3;housing;;
piasta;5;n;3;hub;;
hydrauliczny;5;adj;1;hydraulic;;
wa¿ny;5;adj;1;important;;
indukcja;5;n;2;induction;;
wnioskowanie;5;n;3;inference;dedukcja;
dziennikarz;5;n;1;journalist;;
d³ugoœæ;5;n;1;length;;
wolnobie¿ny;5;adj;3;low-speed;wolnoobrotowy;
miejski;5;adj;2;municipal;;
gondola silnika;5;n;3;nacelle;obudowa silnika samolotu;
na otwartym morzu;5;adj;3;offshore;z dala od brzegu;zamorski
platforma wiertnicza;5;n;3;oil rig;;
odpady organiczne;5;n;3;organic waste;;
moc wyjœciowa;5;n;3;output;produkcja;
stopieñ doktora;5;n;3;PhD;doktorat;
ogniwo fotowoltaiczne;5;n;3;photovoltaic tile;;
skok (œmig³a);5;n;3;pitch;pochylenie (samolotu);
moc;5;n;1;power;;
poprzedni;5;adj;2;previous;;
tylny;5;adj;2;rear;wsteczny;
powód;5;n;2;reason;;
odnawialny;5;adj;2;renewable;;
odpowiednio;5;adv;2;respectively;;
dochód;5;n;3;revenue;;
wirnik;5;n;3;rotor;rotor;
obroty na minutê;5;n;3;rpm;;
samowystarczalny;5;adj;2;self-sufficient;;
œcieki;5;n;3;sewage;nieczystoœci;
oczyszczalnia œcieków;5;n;3;sewage works;;
wa³, wa³ek;5;n;3;shaft;szyb;
w¹¿ (zwierzê);5;n;1;snake;;
Ÿród³o;5;n;2;source;;
prêdkoœæ;5;n;1;speed;;
tarcie spoczynkowe;5;n;3;static friction;tarcie statyczne;
burza;5;n;1;storm;;
powierzchnia;5;n;2;surface;;
podejrzany;5;n;3;suspect;;
zbiornik energii cieplnej;5;n;3;thermal store;;
zawaliæ siê;5;v;2;to collapse;;
uszkodziæ;5;v;2;to damage;;
zmniejszyæ;5;v;2;to decrease;;
opisaæ;5;v;1;to describe;;
odkryæ;5;v;1;to discover;;
zraniæ;5;v;1;to hurt;;
wywnioskowaæ;5;v;3;to infer;wydedukowaæ;
zamocowaæ;5;v;3;to mount;ustawiæ na podwy¿szeniu;
przezwyciê¿yæ;5;v;2;to overcome;pokonaæ;
odrzucaæ;5;v;2;to reject;;
przekazywaæ (sygna³, moc);5;v;3;to relay;;
obracaæ siê;5;v;2;to rotate;krêciæ siê;
ocaliæ;5;v;1;to save;oszczêdzaæ;
uproœciæ;5;v;2;to simplify;;
rozszczepiæ;5;v;3;to split;rozdzieliæ;
zak³ad trójgeneracji;5;n;3;trigeneration plant;;
rurowy;5;adj;3;tubular;cylindryczny;
wiatrowskaz;5;n;3;vane;;
wykonalny;5;adj;3;viable;realny;
fala;5;n;2;wave;;
podczas;5;o;2;while;w trakcie;chwila
odchylenie kierunkowe;5;n;3;yaw;;
wyg³uszenie;6;n;3;acoustic liner;izolacja akustyczna;
w³aœciwie;6;adv;3;actually;w istocie;
kontroler lotniska;6;n;2;aerodrome controller;;
p³at;6;n;3;aerofoil;;
lotnictwo;6;n;2;aeronautics;aeronautyka;
lotka;6;n;3;aileron;;
p³atowiec;6;n;3;airframe;;
przestrzeñ powietrzna;6;n;2;airspace;;
kontrola lotu;6;n;2;air-traffic control;;
wysokoœæ lotu;6;n;2;altitude;;
utrzymywanie wysokoœci;6;n;2;altitude hold;;
k¹t;6;n;2;angle;;
kontroler zbli¿ania;6;n;2;approach controller;;
kontroler obszaru;6;n;2;area controller;;
uk³ad zespolonego skrzyd³a;6;n;3;blended wing design;;
kabina pilota;6;n;1;cockpit;;
zespó³ komory spalania;6;n;3;combustor;;
sprê¿arka;6;n;2;compressor;;
statek powietrzny;6;n;3;craft;;
punkt rosy;6;n;3;dew point;;
wezwanie pomocy;6;n;2;distress call;;
opór czo³owy;6;n;3;drag;opór aerodynamiczny;
ster wysokoœci;6;n;3;elevator;ster poziomy;
masa w³asna samolotu;6;n;3;empty weight;;
wlot powietrza;6;n;2;engine intake;;
dok³adny;6;adj;2;exact;;
owiewka;6;n;3;fairing;;
wentylator;6;n;2;fan;;
klapa;6;n;3;flap;;
elektroniczny system pilotowania ;6;n;3;fly-by-wire;;
rama;6;n;2;frame;;
samolot transportowy;6;n;2;freighter;;
pojemnoœæ zbiorników paliwa;6;n;3;fuel capacity;masa paliwa;
turbospalinowy;6;adj;2;gas-turbine;;
szybowiec;6;n;2;glider;;
u¿ytki zielone;6;n;3;grasslands;;
wysokoœæ;6;n;1;height;;
noszenie zboczowe;6;n;3;hill/ridge lift;;
strefa oczekiwania;6;n;3;holding area;;
poziomy;6;adj;2;horizontal;;
tablica przyrz¹dów;6;n;2;instrument panel;;
silnik odrzutowy;6;n;2;jet engine;;
wêze³;6;n;2;knot;;
podwozie samolotu;6;n;3;landing gear;;
poziom;6;n;1;level;;
si³a noœna;6;n;3;lift;noszenie;
pamiêæ;6;n;1;memory;;
nieporozumienie;6;n;2;misunderstanding;;
w¹ski;6;adj;1;narrow;;
mila morska;6;n;2;nautical mile;;
ha³as;6;n;1;noise;;
bezsilnikowy;6;adj;2;non-powered;;
dysza;6;n;3;nozzle;;
kolejnoœæ;6;n;2;order;;
stojanka;6;n;3;parking stand;stanowisko postojowe;
liczba miejsc w samolocie;6;n;3;people capacity;;
mo¿liwy;6;adj;1;possible;;
ciœnienie;6;n;2;pressure;;
zasiêg;6;n;2;range;;
odnoœny, istotny, dotycz¹cy;6;adj;2;relevant;;
wirop³at;6;n;3;rotary-wing craft;;
ster kierunku;6;n;3;rudder;;
droga startowa;6;n;3;runway;pas startowy;
na boki;6;adv;2;sideways;;
przestrzenny;6;adj;2;spatial;;
os³ona;6;n;2;spoiler;spoiler;
statecznik;6;n;2;stabilizer;stabilizator;
supernowoczesny;6;adj;3;state-of-the-art;;
bagno;6;n;2;swamp;;
ogon;6;n;2;tail;;
belka ogonowa;6;n;3;tail boom;;
start samolotu;6;n;2;takeoff;;
pr¹d termiczny;6;n;3;thermal;;
si³a ci¹gu;6;n;3;thrust;ci¹g;
podchodziæ;6;v;2;to approach;zbli¿aæ siê;
przybywaæ;6;v;1;to arrive;;
wiaæ;6;v;2;to blow;dmuchaæ;
odlatywaæ;6;v;2;to depart;odje¿d¿aæ;
zni¿aæ lot;6;v;2;to descend;opadaæ;
wtopiæ;6;v;3;to embed;wbudowaæ;
zyskaæ;6;v;2;to gain;;
zajmowaæ siê;6;v;2;to handle;;
mieœciæ w sobie;6;v;2;to house;;
wydawaæ;6;v;2;to issue;;
wystartowaæ;6;n;2;to launch;odpaliæ;
przekazaæ;6;v;2;to pass;;
przechodziæ ponad/obok;6;v;2;to pass over/by;;
pochyliæ samolot;6;v;3;to pitch;;
zapobiegaæ;6;v;2;to prevent;;
reagowaæ;6;v;2;to respond;;
przechyliæ samolot;6;v;3;to roll;;
chroniæ;6;v;2;to shield;;
wirowaæ;6;v;2;to spin ;obracaæ siê;
podtrzymywaæ;6;v;2;to support;;
zawiesiæ;6;v;2;to suspend;;
przejmowaæ;6;v;3;to take over;;
ko³owaæ;6;v;3;to taxi;;
przechyliæ œmig³owiec;6;v;2;to tip;przewa¿yæ ;
œledziæ;6;v;2;to track;;
krawêdŸ sp³ywu;6;n;3;trailing edge;;
szczotki na krawêdzi sp³ywu;6;n;3;trailing edge brushes;;
turbulentny;6;adj;2;turbulent;niespokojny;
do góry;6;adv;2;upwards;;
zmiennoœæ;6;n;3;variability;;
zmienna dysza wylotowa;6;n;3;variable exhaust nozzle;;
wie¿a kontroli lotów;6;n;2;visual control tower;;
ciê¿ar;6;n;1;weight;waga;
powierzchnia skrzyd³a;6;n;2;wing area;;
rozpiêtoœæ skrzyde³;6;n;2;wingspan;;
stanowisko operacyjne;6;n;2;work station;;
dopuszczalny;7;adj;2;acceptable;;
klej;7;n;2;adhesive;przylepny;
klimatyzacja;7;n;2;air conditioning;;
przewiewny;7;adj;1;airy;;
telewizja przemys³owa;7;n;2;CCTV;;
pokrycie;7;n;3;cladding;okrycie;
